city,label,zipcode,dep_id,reg_id
l-abergement-clemenciat,L'Abergement-Clémenciat,01400,01,84
l-abergement-de-varey,L'Abergement-de-Varey,01640,01,84
amberieu-en-bugey,Ambérieu-en-Bugey,01500,01,84
amberieux-en-dombes,Ambérieux-en-Dombes,01330,01,84
ambleon,Ambléon,01300,01,84
ambronay,Ambronay,01500,01,84
ambutrix,Ambutrix,01500,01,84
andert-et-condon,Andert-et-Condon,01300,01,84
anglefort,Anglefort,01350,01,84
apremont,Apremont,01100,01,84
aranc,Aranc,01110,01,84
arandas,Arandas,01230,01,84
arbent,Arbent,01100,01,84
arboys-en-bugey,Arboys en Bugey,01300,01,84
arbigny,Arbigny,01190,01,84
argis,Argis,01230,01,84
armix,Armix,01510,01,84
ars-sur-formans,Ars-sur-Formans,01480,01,84
artemare,Artemare,01510,01,84
asnieres-sur-saone,Asnières-sur-Saône,01570,01,84
attignat,Attignat,01340,01,84
bage-dommartin,Bâgé-Dommartin,01380,01,84
bage-le-chatel,Bâgé-le-Châtel,01380,01,84
balan,Balan,01360,01,84
baneins,Baneins,01990,01,84
beaupont,Beaupont,01270,01,84
beauregard,Beauregard,01480,01,84
bellignat,Bellignat,01100,01,84
beligneux,Béligneux,01360,01,84
valserhone,Valserhône,01200,01,84
belley,Belley,01300,01,84
belleydoux,Belleydoux,01130,01,84
valromey-sur-seran,Valromey-sur-Séran,01260,01,84
benonces,Bénonces,01470,01,84
beny,Bény,01370,01,84
bereziat,Béréziat,01340,01,84
bettant,Bettant,01500,01,84
bey,Bey,01290,01,84
beynost,Beynost,01700,01,84
billiat,Billiat,01200,01,84
birieux,Birieux,01330,01,84
biziat,Biziat,01290,01,84
blyes,Blyes,01150,01,84
la-boisse,La Boisse,01120,01,84
boissey,Boissey,01380,01,84
bolozon,Bolozon,01450,01,84
bouligneux,Bouligneux,01330,01,84
bourg-en-bresse,Bourg-en-Bresse,01000,01,84
bourg-saint-christophe,Bourg-Saint-Christophe,01800,01,84
boyeux-saint-jerome,Boyeux-Saint-Jérôme,01640,01,84
boz,Boz,01190,01,84
bregnier-cordon,Brégnier-Cordon,01300,01,84
brenod,Brénod,01110,01,84
brens,Brens,01300,01,84
bressolles,Bressolles,01360,01,84
brion,Brion,01460,01,84
briord,Briord,01470,01,84
buellas,Buellas,01310,01,84
la-burbanche,La Burbanche,01510,01,84
ceignes,Ceignes,01430,01,84
cerdon,Cerdon,01450,01,84
certines,Certines,01240,01,84
cessy,Cessy,01170,01,84
ceyzeriat,Ceyzériat,01250,01,84
ceyzerieu,Ceyzérieu,01350,01,84
chalamont,Chalamont,01320,01,84
chaleins,Chaleins,01480,01,84
chaley,Chaley,01230,01,84
challes-la-montagne,Challes-la-Montagne,01450,01,84
challex,Challex,01630,01,84
champagne-en-valromey,Champagne-en-Valromey,01260,01,84
champdor-corcelles,Champdor-Corcelles,01110,01,84
champfromier,Champfromier,01410,01,84
chanay,Chanay,01420,01,84
chaneins,Chaneins,01990,01,84
chanoz-chatenay,Chanoz-Châtenay,01400,01,84
la-chapelle-du-chatelard,La Chapelle-du-Châtelard,01240,01,84
charix,Charix,01130,01,84
charnoz-sur-ain,Charnoz-sur-Ain,01800,01,84
chateau-gaillard,Château-Gaillard,01500,01,84
chatenay,Châtenay,01320,01,84
chatillon-la-palud,Châtillon-la-Palud,01320,01,84
chatillon-sur-chalaronne,Châtillon-sur-Chalaronne,01400,01,84
chavannes-sur-reyssouze,Chavannes-sur-Reyssouze,01190,01,84
nivigne-et-suran,Nivigne et Suran,01250,01,84
chaveyriat,Chaveyriat,01660,01,84
chazey-bons,Chazey-Bons,01300,01,84
chazey-sur-ain,Chazey-sur-Ain,01150,01,84
cheignieu-la-balme,Cheignieu-la-Balme,01510,01,84
chevillard,Chevillard,01430,01,84
chevroux,Chevroux,01190,01,84
chevry,Chevry,01170,01,84
chezery-forens,Chézery-Forens,01410,01,84
civrieux,Civrieux,01390,01,84
cize,Cize,01250,01,84
cleyzieu,Cleyzieu,01230,01,84
coligny,Coligny,01270,01,84
collonges,Collonges,01550,01,84
colomieu,Colomieu,01300,01,84
conand,Conand,01230,01,84
condamine,Condamine,01430,01,84
condeissiat,Condeissiat,01400,01,84
confort,Confort,01200,01,84
confrancon,Confrançon,01310,01,84
contrevoz,Contrevoz,01300,01,84
conzieu,Conzieu,01300,01,84
corbonod,Corbonod,01420,01,84
corlier,Corlier,01110,01,84
cormoranche-sur-saone,Cormoranche-sur-Saône,01290,01,84
cormoz,Cormoz,01560,01,84
corveissiat,Corveissiat,01250,01,84
courmangoux,Courmangoux,01370,01,84
courtes,Courtes,01560,01,84
crans,Crans,01320,01,84
bresse-vallons,Bresse Vallons,01340,01,84
cressin-rochefort,Cressin-Rochefort,01350,01,84
crottet,Crottet,01290,01,84
crozet,Crozet,01170,01,84
cruzilles-les-mepillat,Cruzilles-lès-Mépillat,01290,01,84
culoz-beon,Culoz-Béon,01350,01,84
curciat-dongalon,Curciat-Dongalon,01560,01,84
curtafond,Curtafond,01310,01,84
cuzieu,Cuzieu,01300,01,84
dagneux,Dagneux,01120,01,84
divonne-les-bains,Divonne-les-Bains,01220,01,84
dompierre-sur-veyle,Dompierre-sur-Veyle,01240,01,84
dompierre-sur-chalaronne,Dompierre-sur-Chalaronne,01400,01,84
domsure,Domsure,01270,01,84
dortan,Dortan,01590,01,84
douvres,Douvres,01500,01,84
drom,Drom,01250,01,84
druillat,Druillat,01160,01,84
echallon,Échallon,01130,01,84
echenevex,Échenevex,01170,01,84
evosges,Évosges,01230,01,84
faramans,Faramans,01800,01,84
fareins,Fareins,01480,01,84
farges,Farges,01550,01,84
feillens,Feillens,01570,01,84
ferney-voltaire,Ferney-Voltaire,01210,01,84
flaxieu,Flaxieu,01350,01,84
foissiat,Foissiat,01340,01,84
francheleins,Francheleins,01090,01,84
frans,Frans,01480,01,84
garnerans,Garnerans,01140,01,84
genouilleux,Genouilleux,01090,01,84
beard-geovreissiat,Béard-Géovreissiat,01460,01,84
geovreisset,Géovreisset,01100,01,84
gex,Gex,01170,01,84
giron,Giron,01130,01,84
gorrevod,Gorrevod,01190,01,84
grand-corent,Grand-Corent,01250,01,84
grieges,Grièges,01290,01,84
grilly,Grilly,01220,01,84
groissiat,Groissiat,01100,01,84
guereins,Guéreins,01090,01,84
hautecourt-romaneche,Hautecourt-Romanèche,01250,01,84
plateau-d-hauteville,Plateau d'Hauteville,01110,01,84
haut-valromey,Haut Valromey,01260,01,84
illiat,Illiat,01140,01,84
injoux-genissiat,Injoux-Génissiat,01200,01,84
innimond,Innimond,01680,01,84
izenave,Izenave,01430,01,84
izernore,Izernore,01580,01,84
izieu,Izieu,01300,01,84
jassans-riottier,Jassans-Riottier,01480,01,84
jasseron,Jasseron,01250,01,84
jayat,Jayat,01340,01,84
journans,Journans,01250,01,84
joyeux,Joyeux,01800,01,84
jujurieux,Jujurieux,01640,01,84
labalme,Labalme,01450,01,84
lagnieu,Lagnieu,01150,01,84
laiz,Laiz,01290,01,84
le-poizat-lalleyriat,Le Poizat-Lalleyriat,01130,01,84
lantenay,Lantenay,01430,01,84
lapeyrouse,Lapeyrouse,01330,01,84
lavours,Lavours,01350,01,84
leaz,Léaz,01200,01,84
lelex,Lélex,01410,01,84
lent,Lent,01240,01,84
lescheroux,Lescheroux,01560,01,84
leyment,Leyment,01150,01,84
leyssard,Leyssard,01450,01,84
surjoux-lhopital,Surjoux-Lhopital,01420,01,84
lhuis,Lhuis,01680,01,84
lompnas,Lompnas,01680,01,84
loyettes,Loyettes,01360,01,84
lurcy,Lurcy,01090,01,84
magnieu,Magnieu,01300,01,84
maillat,Maillat,01430,01,84
malafretaz,Malafretaz,01340,01,84
mantenay-montlin,Mantenay-Montlin,01560,01,84
manziat,Manziat,01570,01,84
marboz,Marboz,01851,01,84
marchamp,Marchamp,01680,01,84
marignieu,Marignieu,01300,01,84
marlieux,Marlieux,01240,01,84
marsonnas,Marsonnas,01340,01,84
martignat,Martignat,01100,01,84
massieux,Massieux,01600,01,84
massignieu-de-rives,Massignieu-de-Rives,01300,01,84
matafelon-granges,Matafelon-Granges,01580,01,84
meillonnas,Meillonnas,01370,01,84
merignat,Mérignat,01450,01,84
messimy-sur-saone,Messimy-sur-Saône,01480,01,84
meximieux,Meximieux,01800,01,84
bohas-meyriat-rignat,Bohas-Meyriat-Rignat,01250,01,84
mezeriat,Mézériat,01660,01,84
mijoux,Mijoux,01170,01,84
mionnay,Mionnay,01390,01,84
miribel,Miribel,01700,01,84
miserieux,Misérieux,01600,01,84
mogneneins,Mogneneins,01140,01,84
montagnat,Montagnat,01250,01,84
montagnieu,Montagnieu,01470,01,84
montanges,Montanges,01200,01,84
montceaux,Montceaux,01090,01,84
montcet,Montcet,01310,01,84
le-montellier,Le Montellier,01800,01,84
monthieux,Monthieux,01390,01,84
montluel,Montluel,01120,01,84
montmerle-sur-saone,Montmerle-sur-Saône,01090,01,84
montracol,Montracol,01310,01,84
montreal-la-cluse,Montréal-la-Cluse,01460,01,84
montrevel-en-bresse,Montrevel-en-Bresse,01340,01,84
nurieux-volognat,Nurieux-Volognat,01460,01,84
murs-et-gelignieux,Murs-et-Gélignieux,01300,01,84
nantua,Nantua,01130,01,84
neuville-les-dames,Neuville-les-Dames,01400,01,84
neuville-sur-ain,Neuville-sur-Ain,01160,01,84
les-neyrolles,Les Neyrolles,01130,01,84
neyron,Neyron,01700,01,84
nievroz,Niévroz,01120,01,84
nivollet-montgriffon,Nivollet-Montgriffon,01230,01,84
oncieu,Oncieu,01230,01,84
ordonnaz,Ordonnaz,01510,01,84
ornex,Ornex,01210,01,84
outriaz,Outriaz,01430,01,84
oyonnax,Oyonnax,01100,01,84
ozan,Ozan,01190,01,84
parcieux,Parcieux,01600,01,84
parves-et-nattages,Parves et Nattages,01300,01,84
peron,Péron,01630,01,84
peronnas,Péronnas,01960,01,84
perouges,Pérouges,01800,01,84
perrex,Perrex,01540,01,84
peyriat,Peyriat,01430,01,84
peyrieu,Peyrieu,01300,01,84
peyzieux-sur-saone,Peyzieux-sur-Saône,01140,01,84
pirajoux,Pirajoux,01270,01,84
pizay,Pizay,01120,01,84
plagne,Plagne,01130,01,84
le-plantay,Le Plantay,01330,01,84
polliat,Polliat,01310,01,84
pollieu,Pollieu,01350,01,84
poncin,Poncin,01450,01,84
pont-d-ain,Pont-d'Ain,01160,01,84
pont-de-vaux,Pont-de-Vaux,01190,01,84
pont-de-veyle,Pont-de-Veyle,01290,01,84
port,Port,01460,01,84
pougny,Pougny,01550,01,84
pouillat,Pouillat,01250,01,84
premeyzel,Prémeyzel,01300,01,84
premillieu,Prémillieu,01110,01,84
prevessin-moens,Prévessin-Moëns,01280,01,84
priay,Priay,01160,01,84
ramasse,Ramasse,01250,01,84
rance,Rancé,01390,01,84
relevant,Relevant,01990,01,84
replonges,Replonges,01750,01,84
revonnas,Revonnas,01250,01,84
reyrieux,Reyrieux,01600,01,84
reyssouze,Reyssouze,01190,01,84
rignieux-le-franc,Rignieux-le-Franc,01800,01,84
romans,Romans,01400,01,84
rossillon,Rossillon,01510,01,84
ruffieu,Ruffieu,01260,01,84
saint-alban,Saint-Alban,01450,01,84
saint-andre-de-bage,Saint-André-de-Bâgé,01380,01,84
saint-andre-de-corcy,Saint-André-de-Corcy,01390,01,84
saint-andre-d-huiriat,Saint-André-d'Huiriat,01290,01,84
saint-andre-le-bouchoux,Saint-André-le-Bouchoux,01240,01,84
saint-andre-sur-vieux-jonc,Saint-André-sur-Vieux-Jonc,01960,01,84
saint-benigne,Saint-Bénigne,01190,01,84
groslee-saint-benoit,Groslée-Saint-Benoit,01300,01,84
saint-bernard,Saint-Bernard,01600,01,84
sainte-croix,Sainte-Croix,01120,01,84
saint-cyr-sur-menthon,Saint-Cyr-sur-Menthon,01380,01,84
saint-denis-les-bourg,Saint-Denis-lès-Bourg,01000,01,84
saint-denis-en-bugey,Saint-Denis-en-Bugey,01500,01,84
saint-didier-d-aussiat,Saint-Didier-d'Aussiat,01340,01,84
saint-didier-de-formans,Saint-Didier-de-Formans,01600,01,84
saint-didier-sur-chalaronne,Saint-Didier-sur-Chalaronne,01140,01,84
saint-eloi,Saint-Éloi,01800,01,84
saint-etienne-du-bois,Saint-Étienne-du-Bois,01370,01,84
saint-etienne-sur-chalaronne,Saint-Étienne-sur-Chalaronne,01140,01,84
saint-etienne-sur-reyssouze,Saint-Étienne-sur-Reyssouze,01190,01,84
sainte-euphemie,Sainte-Euphémie,01600,01,84
saint-genis-pouilly,Saint-Genis-Pouilly,01630,01,84
saint-genis-sur-menthon,Saint-Genis-sur-Menthon,01380,01,84
saint-georges-sur-renon,Saint-Georges-sur-Renon,01400,01,84
saint-germain-de-joux,Saint-Germain-de-Joux,01130,01,84
saint-germain-les-paroisses,Saint-Germain-les-Paroisses,01300,01,84
saint-germain-sur-renon,Saint-Germain-sur-Renon,01240,01,84
saint-jean-de-gonville,Saint-Jean-de-Gonville,01630,01,84
saint-jean-de-niost,Saint-Jean-de-Niost,01800,01,84
saint-jean-de-thurigneux,Saint-Jean-de-Thurigneux,01390,01,84
saint-jean-le-vieux,Saint-Jean-le-Vieux,01640,01,84
saint-jean-sur-reyssouze,Saint-Jean-sur-Reyssouze,01560,01,84
saint-jean-sur-veyle,Saint-Jean-sur-Veyle,01290,01,84
sainte-julie,Sainte-Julie,01150,01,84
saint-julien-sur-reyssouze,Saint-Julien-sur-Reyssouze,01560,01,84
saint-julien-sur-veyle,Saint-Julien-sur-Veyle,01540,01,84
saint-just,Saint-Just,01250,01,84
saint-laurent-sur-saone,Saint-Laurent-sur-Saône,01750,01,84
saint-marcel,Saint-Marcel,01390,01,84
saint-martin-de-bavel,Saint-Martin-de-Bavel,01510,01,84
saint-martin-du-frene,Saint-Martin-du-Frêne,01430,01,84
saint-martin-du-mont,Saint-Martin-du-Mont,01160,01,84
saint-martin-le-chatel,Saint-Martin-le-Châtel,01310,01,84
saint-maurice-de-beynost,Saint-Maurice-de-Beynost,01700,01,84
saint-maurice-de-gourdans,Saint-Maurice-de-Gourdans,01800,01,84
saint-maurice-de-remens,Saint-Maurice-de-Rémens,01500,01,84
saint-nizier-le-bouchoux,Saint-Nizier-le-Bouchoux,01560,01,84
saint-nizier-le-desert,Saint-Nizier-le-Désert,01320,01,84
sainte-olive,Sainte-Olive,01330,01,84
saint-paul-de-varax,Saint-Paul-de-Varax,01240,01,84
saint-rambert-en-bugey,Saint-Rambert-en-Bugey,01230,01,84
saint-remy,Saint-Rémy,01310,01,84
saint-sorlin-en-bugey,Saint-Sorlin-en-Bugey,01150,01,84
saint-sulpice,Saint-Sulpice,01340,01,84
saint-trivier-de-courtes,Saint-Trivier-de-Courtes,01560,01,84
saint-trivier-sur-moignans,Saint-Trivier-sur-Moignans,01990,01,84
saint-vulbas,Saint-Vulbas,01150,01,84
salavre,Salavre,01270,01,84
samognat,Samognat,01580,01,84
sandrans,Sandrans,01400,01,84
sault-brenaz,Sault-Brénaz,01150,01,84
sauverny,Sauverny,01220,01,84
savigneux,Savigneux,01480,01,84
segny,Ségny,01170,01,84
seillonnaz,Seillonnaz,01470,01,84
sergy,Sergy,01630,01,84
sermoyer,Sermoyer,01190,01,84
serrieres-de-briord,Serrières-de-Briord,01470,01,84
serrieres-sur-ain,Serrières-sur-Ain,01450,01,84
servas,Servas,01960,01,84
servignat,Servignat,01560,01,84
seyssel,Seyssel,01420,01,84
simandre-sur-suran,Simandre-sur-Suran,01250,01,84
sonthonnax-la-montagne,Sonthonnax-la-Montagne,01580,01,84
souclin,Souclin,01150,01,84
sulignat,Sulignat,01400,01,84
talissieu,Talissieu,01510,01,84
tenay,Tenay,01230,01,84
thil,Thil,01120,01,84
thoiry,Thoiry,01710,01,84
thoissey,Thoissey,01140,01,84
torcieu,Torcieu,01230,01,84
tossiat,Tossiat,01250,01,84
toussieux,Toussieux,01600,01,84
tramoyes,Tramoyes,01390,01,84
la-trancliere,La Tranclière,01160,01,84
val-revermont,Val-Revermont,01370,01,84
trevoux,Trévoux,01600,01,84
valeins,Valeins,01140,01,84
vandeins,Vandeins,01660,01,84
varambon,Varambon,01160,01,84
vaux-en-bugey,Vaux-en-Bugey,01150,01,84
verjon,Verjon,01270,01,84
vernoux,Vernoux,01560,01,84
versailleux,Versailleux,01330,01,84
versonnex,Versonnex,01210,01,84
vesancy,Vesancy,01170,01,84
vescours,Vescours,01560,01,84
vesines,Vésines,01570,01,84
vieu-d-izenave,Vieu-d'Izenave,01430,01,84
villars-les-dombes,Villars-les-Dombes,01330,01,84
villebois,Villebois,01150,01,84
villemotier,Villemotier,01270,01,84
villeneuve,Villeneuve,01480,01,84
villereversure,Villereversure,01250,01,84
villes,Villes,01200,01,84
villette-sur-ain,Villette-sur-Ain,01320,01,84
villieu-loyes-mollon,Villieu-Loyes-Mollon,01800,01,84
viriat,Viriat,01440,01,84
virieu-le-grand,Virieu-le-Grand,01510,01,84
arviere-en-valromey,Arvière-en-Valromey,01260,01,84
virignin,Virignin,01300,01,84
vongnes,Vongnes,01350,01,84
vonnas,Vonnas,01540,01,84
abbecourt,Abbécourt,02300,02,32
achery,Achery,02800,02,32
acy,Acy,02200,02,32
agnicourt-et-sechelles,Agnicourt-et-Séchelles,02340,02,32
aguilcourt,Aguilcourt,02190,02,32
aisonville-et-bernoville,Aisonville-et-Bernoville,02110,02,32
aizelles,Aizelles,02820,02,32
aizy-jouy,Aizy-Jouy,02370,02,32
alaincourt,Alaincourt,02240,02,32
allemant,Allemant,02320,02,32
ambleny,Ambleny,02290,02,32
ambrief,Ambrief,02200,02,32
amifontaine,Amifontaine,02190,02,32
amigny-rouy,Amigny-Rouy,02700,02,32
ancienville,Ancienville,02600,02,32
andelain,Andelain,02800,02,32
anguilcourt-le-sart,Anguilcourt-le-Sart,02800,02,32
anizy-le-grand,Anizy-le-Grand,02320,02,32
annois,Annois,02480,02,32
any-martin-rieux,Any-Martin-Rieux,02500,02,32
archon,Archon,02360,02,32
arcy-sainte-restitue,Arcy-Sainte-Restitue,02130,02,32
armentieres-sur-ourcq,Armentières-sur-Ourcq,02210,02,32
arrancy,Arrancy,02860,02,32
artemps,Artemps,02480,02,32
assis-sur-serre,Assis-sur-Serre,02270,02,32
athies-sous-laon,Athies-sous-Laon,02840,02,32
attilly,Attilly,02490,02,32
aubencheul-aux-bois,Aubencheul-aux-Bois,02420,02,32
aubenton,Aubenton,02500,02,32
aubigny-aux-kaisnes,Aubigny-aux-Kaisnes,02590,02,32
aubigny-en-laonnois,Aubigny-en-Laonnois,02820,02,32
audignicourt,Audignicourt,02300,02,32
audigny,Audigny,02120,02,32
augy,Augy,02220,02,32
aulnois-sous-laon,Aulnois-sous-Laon,02000,02,32
les-autels,Les Autels,02360,02,32
autremencourt,Autremencourt,02250,02,32
autreppes,Autreppes,02580,02,32
autreville,Autreville,02300,02,32
azy-sur-marne,Azy-sur-Marne,02400,02,32
bagneux,Bagneux,02290,02,32
bancigny,Bancigny,02140,02,32
barenton-bugny,Barenton-Bugny,02000,02,32
barenton-cel,Barenton-Cel,02000,02,32
barenton-sur-serre,Barenton-sur-Serre,02270,02,32
barisis-aux-bois,Barisis-aux-Bois,02700,02,32
barzy-en-thierache,Barzy-en-Thiérache,02170,02,32
barzy-sur-marne,Barzy-sur-Marne,02850,02,32
bassoles-aulers,Bassoles-Aulers,02380,02,32
vallees-en-champagne,Vallées en Champagne,02330,02,32
bazoches-et-saint-thibaut,Bazoches-et-Saint-Thibaut,02220,02,32
beaume,Beaumé,02500,02,32
beaumont-en-beine,Beaumont-en-Beine,02300,02,32
beaurevoir,Beaurevoir,02110,02,32
beaurieux,Beaurieux,02160,02,32
beautor,Beautor,02800,02,32
beauvois-en-vermandois,Beauvois-en-Vermandois,02590,02,32
becquigny,Becquigny,02110,02,32
belleau,Belleau,02400,02,32
bellenglise,Bellenglise,02420,02,32
belleu,Belleu,02200,02,32
bellicourt,Bellicourt,02420,02,32
benay,Benay,02440,02,32
bergues-sur-sambre,Bergues-sur-Sambre,02450,02,32
berlancourt,Berlancourt,02250,02,32
berlise,Berlise,02340,02,32
bernot,Bernot,02120,02,32
berny-riviere,Berny-Rivière,02290,02,32
berrieux,Berrieux,02820,02,32
berry-au-bac,Berry-au-Bac,02190,02,32
bertaucourt-epourdon,Bertaucourt-Epourdon,02800,02,32
berthenicourt,Berthenicourt,02240,02,32
bertricourt,Bertricourt,02190,02,32
besme,Besmé,02300,02,32
besmont,Besmont,02500,02,32
besny-et-loizy,Besny-et-Loizy,02870,02,32
bethancourt-en-vaux,Béthancourt-en-Vaux,02300,02,32
beugneux,Beugneux,02210,02,32
beuvardes,Beuvardes,02130,02,32
