idName,title,nOfJobs
java,Java,85206
javascript,JavaScript,63993
c,C,59919
python,Python,46976
sql,SQL,219617
cpp,C++,61098
html,HTML,69531
linux,Linux,32007
xml,XML,42277
php,PHP,30349
perl,Perl,13482
matlab,MATLAB,32228
ruby,Ruby,11438
csharp,C#,19747
android,Android,9263
mysql,MySQL,47466
fortran,Fortran,1931
css,CSS,45617
r,R,14173
json,JSON,9228
ios,iOS,5010
go,Go,6403
scala,Scala,4525
swift,Swift,3754
ada,Ada,2184
cobol,COBOL,2616
rust,Rust,141
postgresql,PostgreSQL,13084
kotlin,Kotlin,5276
arduino,Arduino Programming Language,598
powershell,PowerShell,19576
pascal,Pascal,102
haskell,Haskell,495
typescript,TypeScript,1542
sas,SAS,4682
arm,ARM,7695
lisp,Lisp,303
lua,Lua,1106
julia,Julia,85
prolog,Prolog,446
nodejs,Node.js,6864
http,HTTP,771996
objective-c,Objective-C,4276
clojure,Clojure,469
scheme,Scheme,1174
assembly-language,Assembly language,1329
erlang,Erlang,308
bash,Bash,4774
jquery,JQuery,24780
mathematica,Mathematica,1553
isbn,ISBN,53
elixir,Elixir,214
cuda,CUDA,769
dart,Dart,208
emacs-editor,Emacs,0
modula-2,Modula-2,0
mongodb,MongoDB,3787
visual-basic,Visual Basic,3294
tcl,Tcl,0
actionscript,ActionScript,88
vba,VBA,511
vim-editor,Vim,0
rails,Ruby on Rails,6343
wordpress,WordPress,14952
basic,BASIC,0
verilog,Verilog,246
awk,awk,7
delphi,Delphi,181
solidity,Solidity,937
ascii,ASCII,0
aws,AWS,2512
f-sharp,F#,0
regex,Regular Expressions,0
ocaml,OCaml,0
asp,ASP,9630
eiffel,Eiffel,0
crystal,Crystal,0
smalltalk,Smalltalk,0
yacc,Yacc,17
git,Git,7032
modula-3,Modula-3,0
elm,Elm,127
racket,Racket,48
groovy,Groovy,0
unix,Unix,0
d,D,0
common-lisp,Common Lisp,24
reason,Reason,0
uml,UML,0
sagemath,Sage,0
maple,Maple,511
unicode,Unicode,0
coffeescript,CoffeeScript,216
vhdl,VHDL,0
apl,APL,0
opencl,OpenCL,266
mediawiki,MediaWiki,69
azure,Microsoft Azure,1448
yaml,YAML,61
doi,DOI,0
rest,REST,26215
utf-8,UTF-8,0
excel-app,Microsoft Excel,0
xquery,XQuery,125
postscript,PostScript,0
nginx-config,Nginx,2884
graphql,GraphQL,0
spss,SPSS,9587
powerpc,PowerPC,59
eclipse-editor,Eclipse,0
tls,TLS,0
ftp,FTP,0
visual-studio-editor,Visual Studio,0
soap,SOAP,7493
matplotlib,Matplotlib,0
vuejs,Vue,0
literate-coffeescript,Literate CoffeeScript,0
rexx,Rexx,40
x86-isa,X86,0
tcp,TCP,0
nim,Nim,0
antlr,ANTLR,30
scipy,SciPy,0
scratch,Scratch,0
pug,Pug,0
lfe,LFE,0
smali,Smali,0
latex,LaTeX,0
markdown,Markdown,0
visual-basic.net,Visual Basic .NET,3447
liquid,Liquid,325
forth,Forth,0
smtp,SMTP,0
purebasic,PureBasic,0
ml,ML,6
solaris,Solaris,0
haxe,Haxe,1
vbscript,VBScript,142
wasm,WebAssembly,5
cil,CIL,0
chapel,Chapel,1
oberon,Oberon,0
pdf,PDF,0
labview,LabVIEW G,2012
applescript,Applescript,6
oz,Oz,0
lasso,Lasso,142
fish,fish,1
llvmir,LLVM IR,23
ecmascript,ECMAScript,0
red,Red,0
simula,Simula,0
protobuf,Protocol Buffers,94
idris,Idris,1
logo,Logo,0
sqlite,SQLite,561
udp,UDP,35
ampl,AMPL,3
opengl,OpenGL,0
sed,sed,0
picolisp,PicoLisp,0
visual-studio-code-editor,Visual Studio Code,0
drupal,Drupal,1642
freebsd,FreeBSD,0
tex,Tex,3
v,V,0
bcpl,BCPL,0
pl-sql,PL/SQL,2972
jvm,JVM,0
standard-ml,Standard ML,0
dylan,Dylan,0
rebol,REBOL,0
maven-pom,Apache Maven,0
unity-engine,Unity,0
processing,Processing,0
hack,Hack,19
mips,MIPS architecture,12
algol,Algol,0
owl,OWL,0
url,URL,0
org,Org,0
purescript,PureScript,0
brainfuck,Brainfuck,0
svg,SVG,0
monaco,Monaco Editor,0
fat,FAT,0
dot,DOT,0
flux,FLUX,0
fantom,Fantom,0
squirrel,Squirrel,0
eulisp,EuLisp,0
monkey,Monkey,0
flex,FLEX,0
autocad-app,AUTOCAD,0
limbo,Limbo,0
agda,Agda,0
blitzbasic,BlitzBasic,0
abap,ABAP,283
mumps,MUMPS,0
occam,Occam,0
game,GAME,0
haml,HAML,0
emacs-lisp,Emacs Lisp,0
rdf,RDF,0
coldfusion,ColdFusion,0
jinja,Jinja,0
coq,Coq,0
autoit,AutoIt,0
qt,Qt,0
x86-assembly,x86 Assembly,0
makefile,Makefile,0
vala,Vala,0
j,J,0
nearley,Nearley,0
newlisp,NewLisp,0
nemerle,Nemerle,0
zig,Zig,0
mime,MIME,1
xaml,XAML,0
jison,Jison,0
moonscript,MoonScript,0
icon,Icon,0
terra,Terra,0
toml,TOML,0
scikit-learn,Scikit-learn,0
x10,X10,0
ballerina,Ballerina,0
scilab,Scilab,0
flow,Flow,0
io,Io,0
turing,Turing,0
idyll,idyll,0
ibm-rpg,RPG,0
mercury,Mercury,0
reverse-polish-notation,Reverse Polish notation,0
qml,QML,0
idl,IDL,0
frege,Frege,0
xbase,xBase,0
octave,GNU Octave,0
boo,Boo,0
java-server-pages,JSP,0
postcss,PostCSS,0
tensorflow,TensorFlow,721
object-pascal,Object Pascal,0
slim-lang,Slim,0
micropython,MicroPython,0
hy,Hy,0
highlightjs,highlight.js,0
algol-60,ALGOL 60,0
arc,Arc,0
zephir,Zephir,0
sparql,SPARQL,0
ceylon,Ceylon,0
redis,Redis,591
lolcode,LOLCODE,0
opa,Opa,0
sparc,SPARC,0
supercollider,SuperCollider,0
systemverilog,SystemVerilog,0
qbasic,QBasic,0
clean,Clean,0
lean,Lean,0
snobol,SNOBOL,0
cython,Cython,0
rfc,RFC,0
bison,Bison,0
xpath,XPath,0
webgl,WebGL,0
inform,Inform,0
clips,CLIPS,0
pony,Pony,0
restructuredtext,reStructuredText,0
kicad,KiCad Legacy Layout,0
vi-editor,vi,0
robotframework,RobotFramework,0
plpgsql,PL/pgSQL,0
factor,Factor,0
cmake,CMake,0
numpy,NumPy,0
self,Self,0
stata,Stata,0
muf,Multi-User Forth,0
sublime-editor,Sublime Text,0
nextflow,Nextflow,0
json5,JSON5,0
si,SI,0
pike,Pike,0
grep,grep,0
deno,Deno,0
metal,Metal,0
edn,EDN,0
pl-i,PL/I,0
isabelle,Isabelle,0
wsdl,WSDL,0
gzip,Gzip,0
netlogo,NetLogo,0
d3,D3.js,0
magit,Magit,0
api-blueprint,API Blueprint,0
minid,MiniD,0
raml,RAML,0
hcl,HCL,0
perl-6,Perl 6,0
elf,Extensible Linking Format,0
ace,Ace Editor,0
click,Click,0
ntfs,New Technology File System,0
ats,ATS,0
autolisp,AutoLISP,0
s-algol,S-algol,0
yang,YANG,0
ia-32,IA-32,0
csound,Csound,0
openrc-runscript,OpenRC runscript,0
fstar,F*,0
ini,Ini,0
sass,Sass,0
turtle,Turtle,0
lex,Lex,0
subversion,Subversion,0
gnuplot,Gnuplot,0
xojo,Xojo,0
npm-pm,npm,0
apollo-guidance-computer,AGC,0
morse-code,Morse code,0
foxpro,FoxPRO,0
flatbuffers,FlatBuffers,0
clojurescript,ClojureScript,0
ioke,Ioke,0
java-bytecode,Java Bytecode,0
s-expressions,S-expressions,0
intercal,INTERCAL,0
e,E,0
codemirror,CodeMirror,0
wren,Wren,0
alloy,Alloy,0
odin,odin,0
axiom,AXIOM,0
livescript,LiveScript,0
rdoc,RDoc,0
csp,CSP,0
modelica,Modelica,0
gradle,Gradle,0
ecr,Embedded Crystal,0
ooxml,Office Open XML,0
wavefront-object,Wavefront Object,0
pov-ray-sdl,POV-Ray SDL,0
microsoft-basic,Microsoft BASIC,0
clipper,Clipper,0
yara,YARA,0
erb,ERB,0
batch,Batchfile,0
django,Django,0
mariadb,MariaDB,0
whitespace,Whitespace,0
general-algebraic-modeling-system,GAMS,0
dns,DNS,0
symbol,SYMBOL,0
b,B,0
asciidoc,AsciiDoc,0
pod,Pod,0
bpmn,BPMN,0
m4,M4,0
datalog,Datalog,0
objective-j,Objective-J,0
marko,Marko,0
dafny,Dafny,0
chevrotain,chevrotain,0
c--,C--,0
ninja,Ninja,0
dhall,Dhall,0
base64,Base64,0
wolfram,Wolfram Language,0
oxygene,Oxygene,0
gambas,Gambas,0
json-ld,JSON-LD,0
q,Q,0
notepad-editor,Microsoft Notepad,0
pegjs,PEG.js,0
google-cloud,Google Cloud Platform,0
hypertalk,HyperTalk,0
spark,SPARK,0
halide,halide,0
tla,TLA,0
befunge,Befunge,0
gdb,GDB,0
puppet,Puppet,0
miranda,Miranda,0
speedie,Speedie,0
bicep,Bicep,0
bourne-shell,Bourne shell,0
c3,C3,0
visual-foxpro,Visual FoxPro,0
seed7,Seed7,0
x86-64-isa,x86-64,413
powerbuilder,PowerBuilder,0
bibtex,BibTeX,0
twig,Twig,0
less,Less,0
xs,XS,0
ec,eC,0
sgml,SGML,0
coconut,Coconut,0
simulink,Simulink,0
oberon-2,Oberon-2,0
g-code,G-code,0
genie,Genie,0
quickbasic,QuickBASIC,0
maxima,Maxima,0
thrift,Thrift,0
nato-phonetic-alphabet,NATO phonetic alphabet,0
autohotkey,AutoHotkey,0
cool,Classroom Object Oriented Language,0
turbo-pascal,Turbo Pascal,0
pl-0,PL/0,0
gw-basic,GW-BASIC,0
homebrew-pm,Homebrew,0
setl,SETL,0
linq,LINQ,0
json-schema,JSON Schema,0
z-notation,Z notation,0
ecl,ECL,0
falcon,Falcon,0
saltstack,SaltStack,0
algol-68,ALGOL 68,0
xbasepp,XBase++,0
nasm,Netwide Assembler,0
transact-sql,Transact-SQL,0
v8,v8,0
clu,CLU,0
dc,Dc,0
livecode,LiveCode,0
comtran,COMTRAN,0
pandas,Pandas,341
asn-1,ASN.1,0
hhvm,HHVM,0
wisp,wisp,0
ink,ink,0
abc,ABC,0
ext4,Ext4,0
diagram,DIAGRAM,0
mercurial,Mercurial,0
k,K,0
yasnippet,YASnippet,0
scala-js,Scala.js,0
rstudio-editor,RStudio,0
capn-proto,Cap'n Proto,0
squeak,Squeak,0
react-native,React Native,0
prql,PRQL,0
hypercard,HyperCard,0
jython,Jython,0
nltk,Natural Language Toolkit,0
bluespec,Bluespec,0
croc,Croc,0
katex,KaTeX,0
ejs,EJS,0
dbase,DBase,0
s,S,0
true-basic,True BASIC,0
wxbasic,WxBasic,0
markwhen,Markwhen,0
stylus,Stylus,0
ion,Ion,0
urweb,UrWeb,0
gap,GAP,0
sather,Sather,0
vim-script,Vim script,0
freebasic,FreeBASIC,0
mmx,MMX instruction set,0
jscript,JScript,0
pygments,Pygments,0
parrot-vm,Parrot,0
mathematica-editor,Wolfram Mathematica,0
unison,unison,0
couchdb,CouchDB,13
pig,Pig Latin,0
txl,TXL,0
rmarkdown,RMarkdown,0
graph-modeling-language,Graph Modeling Language,0
chrysalisp,chrysaLisp,0
cilk,CIL,0
mbox,EML,0
starlark,starlark,0
fastq-format,FASTQ,0
numba,Numba,0
punched-tape,Punched tape,0
latte,Latte,0
smarty,Smarty,0
nu,Nu,0
multics,Multics,0
dtd,DTD,0
malbolge,Malbolge,0
tiny-basic,Tiny BASIC,0
xtend,Xtend,0
algol-w,ALGOL W,0
systemz,IBM System z,0
tornado,tornado,0
jflex,JFlex,0
dtrace,DTrace,0
ragel,Ragel,0
aspectj,AspectJ,0
caml,Caml,0
fortress,Fortress,0
pari-gp,PARI/GP,0
jq,jq,0
puredata,Pure Data,0
trs-80-color-computer,TRS-80 Color Computer,0
max,Max,0
mupad,muPad,0
hlsl,HLSL,0
unicon,Unicon,0
rdfa,RDFa,0
ring,Ring,0
hope,HOPE,0
free-pascal,Free Pascal,0
xslt,XSLT,0
rpl,RPL,0
diff,Diff,0
nl,NL,0
mlir,mlir,0
gosu,Gosu,0
openvera,OpenVera,0
swift-il,SIL,0
mermaid,mermaid,0
hla,High Level Assembly,0
commonmark,commonmark,0
atmel-avr,Atmel AVR,0
eve,Eve,0
cuelang,Cue,0
fennel,Fennel,0
jcl,JCL,0
ratfor,RATFOR,0
glsl,GLSL,0
curry,Curry,0
musicxml,MusicXML,0
slash,Slash,0
enso,Enso,0
luna,Luna,0
golo,Golo,0
nsis,NSIS,0
gerber-image,Gerber Image,0
expect,Expect,0
beta,BETA,0
action,Action!,0
treesheets,TreeSheets,0
janet,janet,0
dxf,AutoCAD DXF,0
ladder-logic,Ladder Logic,0
beef,beef-lang,0
hdf,Hierarchical Data Format,0
inno-setup,Inno Setup,0
dogescript,Dogescript,0
pl-m,PL/M,0
cg,Cg,0
lilypond,LilyPond,0
mps,MPS,0
peg,PEG,0
fasta-format,FASTA,0
datascript,datascript,0
shakespeare,Shakespeare,0
qb64,QB64,0
swi-prolog,SWI Prolog,0
wdl,WDL,0
korn-shell,Korn shell,0
imba,Imba,0
koka,Koka,0
closure-templates,Closure Templates,0
altair-basic,Altair BASIC,0
eagle,Eagle,0
igor-pro,IGOR Pro,0
phyloxml-format,PhyloXML,0
common-workflow-language,CWL,0
risc-v,RISC-V,0
unlambda,UNLAMBDA,0
gravity,gravity,0
abnf,Augmented Backus-Naur Form,0
java-ee-version-history,Java EE version history,0
ron,Ron,0
zip-format,Zip file format,0
ebnf,EBNF,0
sourcepawn,SourcePawn,0
textile,Textile,0
java-properties,Java Properties,0
openlisp,OpenLisp,0
blitz3d,Blitz3D,0
renpy,Ren'Py,0
commodore-basic,Commodore BASIC,0
taichi,Taichi,0
parrot-internal-representation,PIR,0
lpc,LPC,0
xtext,Xtext,0
reia,Reia,0
carp,carp,0
gams,GAMS,0
cweb,CWEB,0
dwg,.dwg,0
euphoria,Euphoria,0
dynamo-visual-language,dynamo-visual-language,0
hjson,Hjson,0
