company              city              position                  contract        unsolicited        tech                                date                   answer             website
capgemini            cherbourg         fullstack                 alternance      no                 java, angular                       11/03/2025             no                 wttj
citalid              paris             fullstack                 alternance      no                 python, django                      11/03/2025             no                 wttj
mindflow             paris             fullstack                 alternance      no                 javascript, typescript              11/03/2025             no                 wttj
natixis(etreso)      paris             fullstack                 alternance      no                 /                                   11/03/2025             no                 wttj
natixis(summit)      paris             fullstack                 alternance      no                 /                                   11/03/2025             no                 wttj
atos                 clermont-f        fullstack                 alternance      no                 /                                   11/03/2025             no                 wttj
meogroup             lyon              fullstack                 alternance      no                 /                                   11/03/2025             no                 wttj
atos                 toulouse          fullstack                 alternance      no                 /                                   12/03/2025             no                 hellowork
kicklox              toulouse          fullstack                 alternance      no                 /                                   12/03/2025             no                 kicklox
apave                toulouse          fullstack                 alternance      no                 /                                   12/03/2025             no                 hellowork
noous                toulouse          fullstack                 alternance      no                 /                                   13/03/2025             /                  la bonne alternance
noveo                toulouse          fullstack                 alternance      no                 /                                   13/03/2025             no                 talent
sopra steria         paris             fullstack                 alternance      no                 /                                   13/03/2025             no                 wttj
bpce tech            paris             fullstack                 alternance      no                 /                                   15/03/2025             /                  wttj
super u tech         nantes            fullstack                 alternance      no                 /                                   15/03/2025             /                  wttj
Nexa                 bordeaux          fullstack                 alternance      no                 /                                   18/03/2025             /                  bloom
AG2R la mond.        paris             fullstack                 alternance      no                 /                                   18/03/2025             /                  jobs makesens
AG2R la mond.        paris             fullstack                 alternance      no                 /                                   18/03/2025             /                  jobs makesens
airbus               toulouse          front                     alternance      no                 /                                   26/03/2025             no                 site via linkedin 
kicklox/entr         montpellier       fullstack                 alternance      no                 /                                   26/03/2025             /                  site via linkedin
ANSSI                paris             fullstack                 alternance      no                 /                                   07/05/2025             /                  wttj
decasoft             TLS/PRS           fullstack                 alternance      no                 /                                   12/06/2025             no                 linkedin
sogeti               toulouse          fullstack                 alternance      no                 /                                   13/06/2025             /                  linkedin
berger-levraut       toulouse          fullstack                 alternance      no                 /                                   13/06/2025             no                 site via linkedin
eurecia              toulouse          fullstack                 alternance      no                 /                                   13/06/2025             no                 site via linkedin
lundi matin          montpellier       fullstack                 alternance      no                 php                                 13/06/2025             /                  indeed
Lynx business        paris             fullstack                 alternance      no                 php, laravel                        13/06/2025             /                  indeed
capgemini            toulouse          fullstack                 alternance      no                 /                                   13/06/2025             /                  site via linkedin
